feature,family
shape_Sphericity,handcrafted_radiomics
VEN_original_ngtdm_Coarseness,handcrafted_radiomics
VEN_original_firstorder_10Percentile,handcrafted_radiomics
ART_original_firstorder_25Percentile,handcrafted_radiomics
shell_ART_core_median,spatial_physiology
DEL_original_ngtdm_Coarseness,handcrafted_radiomics
DRY_original_ngtdm_Coarseness,handcrafted_radiomics
shape_SurfaceVolumeRatio,handcrafted_radiomics
traj_core_phase_auc,spatial_physiology
shell_VEN_core_median,spatial_physiology
shell_ART_mid_p10,spatial_physiology
shell_VEN_mid_p10,spatial_physiology
VEN_original_glszm_ZonePercentage,handcrafted_radiomics
delta_VEN_MINUS_ART_hotspot_com_offset,spatial_physiology
shell_ART_mid_median,spatial_physiology
shell_VEN_core_p10,spatial_physiology
VEN_original_ngtdm_Contrast,handcrafted_radiomics
shell_ART_core_p10,spatial_physiology
ART_original_ngtdm_Contrast,handcrafted_radiomics
VEN_original_firstorder_25Percentile,handcrafted_radiomics
ART_original_glrlm_RunLengthNonUniformityNormalized,handcrafted_radiomics
DEL_original_firstorder_CoefficientOfVariation,handcrafted_radiomics
ART_original_gldm_SmallDependenceEmphasis,handcrafted_radiomics
shell_DEL_rim_iqr,spatial_physiology
shell_VEN_mid_median,spatial_physiology
shell_ART_rim_median,spatial_physiology
VEN_original_gldm_SmallDependenceLowGrayLevelEmphasis,handcrafted_radiomics
ART_original_gldm_HighGrayLevelEmphasis,handcrafted_radiomics
VEN_original_glszm_SizeZoneNonUniformityNormalized,handcrafted_radiomics
VEN_original_glrlm_RunLengthNonUniformityNormalized,handcrafted_radiomics
VEN_original_gldm_DependenceNonUniformityNormalized,handcrafted_radiomics
traj_whole_phase_auc,spatial_physiology
shell_VEN_rim_p10,spatial_physiology
DEL_original_glszm_ZonePercentage,handcrafted_radiomics
phase_ART_p10,spatial_physiology
geom_solidity,spatial_physiology
VEN_original_gldm_LargeDependenceHighGrayLevelEmphasis,handcrafted_radiomics
shell_ART_core_p90,spatial_physiology
VEN_original_glrlm_HighGrayLevelRunEmphasis,handcrafted_radiomics
shell_VEN_core_p90,spatial_physiology
VEN_original_gldm_SmallDependenceHighGrayLevelEmphasis,handcrafted_radiomics
ART_original_glszm_SizeZoneNonUniformityNormalized,handcrafted_radiomics
ART_original_gldm_LargeDependenceHighGrayLevelEmphasis,handcrafted_radiomics
shell_VEN_core_energy,spatial_physiology
ART_original_firstorder_75Percentile,handcrafted_radiomics
shell_ART_rim_mean,spatial_physiology
DEL_original_glszm_SmallAreaEmphasis,handcrafted_radiomics
phase_DEL_p10,spatial_physiology
ctx_ART_background_median,context_optimal_transport
shell_ART_mid_p90,spatial_physiology
DEL_original_ngtdm_Contrast,handcrafted_radiomics
delta_DEL_MINUS_VEN_mid_positive_fraction,spatial_physiology
shell_VEN_mid_energy,spatial_physiology
DEL_original_glrlm_RunLengthNonUniformityNormalized,handcrafted_radiomics
delta_DEL_MINUS_VEN_core_positive_fraction,spatial_physiology
shell_VEN_mid_p90,spatial_physiology
phase_present_DEL,spatial_physiology
shell_DRY_mid_median,spatial_physiology
VEN_original_firstorder_RootMeanSquared,handcrafted_radiomics
ctx_DEL_moranI,context_optimal_transport
DEL_original_gldm_GrayLevelNonUniformityNormalized,handcrafted_radiomics
VEN_original_glszm_HighGrayLevelZoneEmphasis,handcrafted_radiomics
shape_Flatness,handcrafted_radiomics
VEN_original_firstorder_75Percentile,handcrafted_radiomics
DEL_original_firstorder_RobustMedianAbsoluteDeviation,handcrafted_radiomics
spatial_DEL_semivariogram_lag1_norm,spatial_physiology
spatial_VEN_hotspot_com_offset,spatial_physiology
DEL_original_firstorder_25Percentile,handcrafted_radiomics
DEL_original_gldm_LargeDependenceHighGrayLevelEmphasis,handcrafted_radiomics
shell_DEL_core_median,spatial_physiology
delta_DEL_MINUS_VEN_positive_fraction,spatial_physiology
DRY_original_firstorder_75Percentile,handcrafted_radiomics
DEL_original_glrlm_GrayLevelNonUniformityNormalized,handcrafted_radiomics
geom_radial_cv,spatial_physiology
shell_DRY_rim_median,spatial_physiology
shell_ART_core_energy,spatial_physiology
geom_extent,spatial_physiology
DEL_original_glszm_SmallAreaHighGrayLevelEmphasis,handcrafted_radiomics
VEN_original_gldm_LargeDependenceEmphasis,handcrafted_radiomics
ctx_VEN_background_median,context_optimal_transport
shell_DRY_core_p90,spatial_physiology
VEN_original_glrlm_GrayLevelNonUniformityNormalized,handcrafted_radiomics
DEL_original_glszm_GrayLevelNonUniformityNormalized,handcrafted_radiomics
spatial_DEL_semivariogram_lag2_norm,spatial_physiology
shell_DEL_rim_mad,spatial_physiology
delta_DEL_MINUS_VEN_negative_fraction,spatial_physiology
VEN_original_gldm_GrayLevelNonUniformityNormalized,handcrafted_radiomics
spatial_DEL_semivariogram_lag4_norm,spatial_physiology
fractal_box_dimension,spatial_physiology
shell_ART_rim_p90,spatial_physiology
ART_original_gldm_DependenceNonUniformityNormalized,handcrafted_radiomics
ctx_ART_rim_minus_core,context_optimal_transport
ART_original_gldm_LargeDependenceEmphasis,handcrafted_radiomics
phase_VEN_energy,spatial_physiology
DEL_original_glcm_JointEnergy,handcrafted_radiomics
ctx_DRY_background_median,context_optimal_transport
phase_DRY_p90,spatial_physiology
DEL_original_gldm_SmallDependenceHighGrayLevelEmphasis,handcrafted_radiomics
DEL_original_glcm_Energy,handcrafted_radiomics
DELTA_DEL_MINUS_VEN_original_firstorder_Median,handcrafted_radiomics
DRY_original_glrlm_HighGrayLevelRunEmphasis,handcrafted_radiomics
shell_DEL_mid_p10,spatial_physiology
shell_VEN_rim_mad,spatial_physiology
shell_DEL_mid_median,spatial_physiology
spatial_VEN_semivariogram_lag2_norm,spatial_physiology
spatial_ART_semivariogram_lag1_norm,spatial_physiology
ART_original_glszm_SmallAreaHighGrayLevelEmphasis,handcrafted_radiomics
ctx_VEN_hot_largest_frac_q90,context_optimal_transport
DELTA_DEL_MINUS_VEN_original_firstorder_CoefficientOfVariation,handcrafted_radiomics
shell_DEL_core_mean,spatial_physiology
VEN_original_firstorder_RobustMedianAbsoluteDeviation,handcrafted_radiomics
DEL_original_glrlm_HighGrayLevelRunEmphasis,handcrafted_radiomics
VEN_original_glrlm_ShortRunLowGrayLevelEmphasis,handcrafted_radiomics
spatial_VEN_semivariogram_lag1_norm,spatial_physiology
VEN_original_glrlm_LongRunHighGrayLevelEmphasis,handcrafted_radiomics
ctx_VEN_moranI,context_optimal_transport
ART_original_gldm_SmallDependenceLowGrayLevelEmphasis,handcrafted_radiomics
VEN_original_glszm_GrayLevelNonUniformityNormalized,handcrafted_radiomics
ctx_DEL_hot_largest_frac_q90,context_optimal_transport
shell_DEL_rim_mean,spatial_physiology
DEL_original_glcm_JointAverage,handcrafted_radiomics
DRY_original_gldm_HighGrayLevelEmphasis,handcrafted_radiomics
ART_original_firstorder_Entropy,handcrafted_radiomics
DEL_original_gldm_DependenceNonUniformityNormalized,handcrafted_radiomics
shell_VEN_rim_energy,spatial_physiology
ctx_ART_moranI,context_optimal_transport
VEN_original_glszm_SmallAreaHighGrayLevelEmphasis,handcrafted_radiomics
shell_DEL_mid_mean,spatial_physiology
ART_original_glszm_HighGrayLevelZoneEmphasis,handcrafted_radiomics
DELTA_DEL_MINUS_VEN_original_firstorder_75Percentile,handcrafted_radiomics
VEN_original_gldm_LargeDependenceLowGrayLevelEmphasis,handcrafted_radiomics
spatial_VEN_semivariogram_lag4_norm,spatial_physiology
DEL_original_glcm_JointEntropy,handcrafted_radiomics
ctx_DEL_background_median,context_optimal_transport
DEL_original_glrlm_LongRunHighGrayLevelEmphasis,handcrafted_radiomics
shell_DRY_core_median,spatial_physiology
ART_original_glrlm_LongRunHighGrayLevelEmphasis,handcrafted_radiomics
spatial_ART_semivariogram_lag2_norm,spatial_physiology
delta_DEL_MINUS_VEN_rim_positive_fraction,spatial_physiology
shell_DEL_rim_median,spatial_physiology
